,user,calday,trial_False,trial_True,action_CREATE,action_DELETE
1,ad49ae7b1d,2018-12-01 18:16:56.971,1,0,1,0
2,2165677f19,2018-12-01 18:16:58.380,1,0,1,0
3,13ded413c2,2018-12-01 18:16:58.444,1,0,1,0
4,032adbb404,2018-12-01 18:16:59.568,1,0,1,0
5,60bf8c9786,2018-12-01 18:17:00.077,1,0,1,0
6,d1dcc1f192,2018-12-01 18:17:00.159,1,0,1,0
7,c7ff01a6f1,2018-12-01 18:17:00.300,1,0,1,0
8,16c6031bca,2018-12-01 18:17:00.360,1,0,1,0
9,3df737e8e2,2018-12-01 18:17:00.621,1,0,1,0
10,61290732d9,2018-12-01 18:17:02.504,1,0,1,0
11,deb1007760,2018-12-01 18:17:02.520,1,0,1,0
12,5c2af8e76e,2018-12-01 18:17:02.632,1,0,1,0
13,4834b6b879,2018-12-01 18:17:03.093,1,0,1,0
14,cee2eef0e6,2018-12-01 18:17:03.604,1,0,1,0
15,3015fb8e2c,2018-12-01 18:17:03.667,1,0,1,0
16,f9e6c52566,2018-12-01 18:17:03.885,1,0,1,0
17,e8d60240fb,2018-12-01 18:17:04.218,1,0,1,0
18,e4dad9c810,2018-12-01 18:17:04.264,1,0,1,0
19,a55a0ccb9a,2018-12-01 18:17:04.736,1,0,1,0
20,f78ba83143,2018-12-01 18:17:04.923,1,0,1,0
21,d21cc895c5,2018-12-01 18:17:04.949,1,0,1,0
22,0c84a8ddda,2018-12-01 18:17:05.160,1,0,1,0
23,b333d987a0,2018-12-01 18:17:05.180,1,0,1,0
24,af95c74932,2018-12-01 18:17:05.214,1,0,1,0
25,217a5e9e16,2018-12-01 18:17:05.428,1,0,1,0
26,b861986445,2018-12-01 18:17:06.118,1,0,1,0
27,82e42d1335,2018-12-01 18:17:06.283,1,0,1,0
28,a084bf4496,2018-12-01 18:17:06.421,1,0,1,0
29,958c118772,2018-12-01 18:17:06.747,1,0,1,0
30,209860205f,2018-12-01 18:17:06.940,1,0,1,0
31,c8f81e7d2b,2018-12-01 18:17:07.141,1,0,1,0
32,5dbaae97a9,2018-12-01 18:17:08.011,1,0,1,0
33,46eb8554d5,2018-12-01 18:17:08.204,1,0,1,0
34,ad264cca17,2018-12-01 18:17:08.458,1,0,1,0
35,8ce7f36ca7,2018-12-01 18:17:08.658,1,0,1,0
36,5eee48150c,2018-12-01 18:17:08.888,1,0,1,0
37,a0fe4fb07c,2018-12-01 18:17:09.385,1,0,1,0
38,64e1c63625,2018-12-01 18:17:09.435,1,0,1,0
39,1d2e00ee99,2018-12-01 18:17:09.770,1,0,1,0
